
X        Y        RA               DEC              I             DI            Q             DQ            U             DU            P             DP            ANG           DANG          PI            DPI           AST           ID           
10.5     -37.5    17:45:36.381     -29:01:47.48     1485.95       2.57567       -11.3113      0.515         0.623751      0.827449      0.762374      0.0347661     88.4218       2.09054       11.3285       0.516233      1             30           
11.5     -37.5    17:45:35.463     -29:01:47.48     1206.53       2.04557       -6.28165      0.752921      3.50728       0.862462      0.596292      0.0646849     75.4119       3.33578       7.19445       0.780348      1             31           
12.5     -37.5    17:45:34.551     -29:01:47.48     858.181       2.07978       -6.07537      0.760832      -3.3867       0.774146      0.810501      0.0890483     -75.4313      3.17556       6.95556       0.76401       1             32           
13.5     -37.5    17:45:33.633     -29:01:47.46     437.758       1.91812       -1.49688      0.802056      -5.03299      0.757241      1.19949       0.173916      -53.2816      4.35653       5.25087       0.760982      1             33           
14.5     -37.5    17:45:32.716     -29:01:47.46     209.113       1.44328       -0.945419     0.780868      -4.68633      1.04092       2.28621       0.493756      -50.7029      4.74979       4.78075       1.03198       1             34           
-1.5     -36.5    17:45:47.357     -29:01:35.50     712.113       1.40627       -13.943       0.876701      17.3277       0.861869      3.12322       0.122009      64.4112       1.12179       22.2409       0.867728      1             35           
-0.5     -36.5    17:45:46.446     -29:01:35.50     742.414       2.15782       -12.0999      0.80948       9.32665       0.809367      2.05778       0.109192      71.1874       1.5178        15.2773       0.809438      1             36           
0.5      -36.5    17:45:45.528     -29:01:35.50     686.682       2.40232       -7.50738      0.956838      5.03891       0.886116      1.31672       0.136305      73.0654       2.87907       9.04164       0.935445      1             37           
1.5      -36.5    17:45:44.610     -29:01:35.50     538.479       3.03494       3.1656        0.602962      10.7366       0.857242      2.07873       0.156387      36.7861       1.60497       11.1935       0.839743      1             38           
2.5      -36.5    17:45:43.698     -29:01:35.50     1004.21       2.76561       13.4662       0.643319      14.3533       0.960289      1.95989       0.0825462     23.4132       1.17517       19.6814       0.827163      1             39           
3.5      -36.5    17:45:42.780     -29:01:35.50     1664.56       5.82512       14.0405       0.796489      4.63555       0.7527        0.888282      0.0476991     9.13543       1.46692       14.786        0.792292      1             40           
4.5      -36.5    17:45:41.869     -29:01:35.50     1448.33       2.58338       13.9305       0.84228       -1.04862      0.790017      0.96455       0.0581609     -2.15242      1.6207        13.9699       0.841995      1             41           
5.5      -36.5    17:45:40.951     -29:01:35.50     1090.67       1.89261       14.2284       0.880775      1.43494       0.715037      1.31117       0.0806486     2.87942       1.43614       14.3005       0.879262      1             42           
6.5      -36.5    17:45:40.033     -29:01:35.49     852.452       2.31268       3.94605       0.799447      4.65416       0.808666      0.715799      0.0944327     24.8535       3.77153       6.10184       0.804823      1             43           
